building_id,damage_grade,damage_grade_n
802906,3,2
28830,2,1
94947,3,2
590882,2,1
201944,3,2
333020,2,1
728451,3,2
475515,1,0
441126,2,1
989500,1,0
7962,3,2
452227,2,1
444381,2,1
287845,3,2
605134,3,2
563431,2,1
633759,2,1
980230,3,2
354011,2,1
483543,3,2
793397,2,1
433870,2,1
219578,2,1
933368,2,1
519606,2,1
801078,3,2
973909,2,1
858160,2,1
466558,2,1
529366,3,2
406413,2,1
16485,2,1
157370,2,1
119565,2,1
141871,3,2
903120,3,2
864809,1,0
252816,3,2
33651,3,2
90130,2,1
306024,2,1
677028,2,1
833827,3,2
180267,2,1
1005736,2,1
440102,1,0
132583,2,1
362494,2,1
987864,3,2
402996,1,0
871517,2,1
877361,2,1
605460,2,1
288541,1,0
893477,3,2
135600,3,2
987565,3,2
552720,2,1
624119,3,2
302199,2,1
961851,2,1
1044113,2,1
270811,2,1
767109,3,2
415067,2,1
439999,2,1
799678,2,1
648002,2,1
388581,3,2
612701,3,2
591993,3,2
708530,2,1
645774,3,2
907445,2,1
483230,2,1
1041381,2,1
425720,1,0
426951,2,1
732884,2,1
206961,3,2
529881,2,1
118711,2,1
965807,3,2
928851,2,1
603867,3,2
67684,3,2
361363,2,1
645772,3,2
931198,2,1
250898,3,2
351011,2,1
852077,3,2
262843,2,1
311370,3,2
722503,3,2
551423,3,2
511997,3,2
266161,2,1
643474,3,2
697129,2,1
623033,2,1
601975,2,1
95369,2,1
96470,2,1
834001,2,1
820425,2,1
627034,2,1
71947,2,1
635262,1,0
792665,2,1
677652,3,2
402299,2,1
843295,2,1
871860,2,1
533100,1,0
790140,2,1
170270,3,2
550121,2,1
32048,3,2
605667,2,1
824847,2,1
799967,3,2
550067,2,1
187320,2,1
767971,2,1
591587,3,2
358906,2,1
247133,2,1
718071,2,1
663374,2,1
849622,2,1
902337,3,2
124969,2,1
402491,3,2
714885,3,2
1009839,2,1
93340,3,2
656607,2,1
719281,2,1
563429,2,1
958524,2,1
295363,1,0
910378,2,1
238065,2,1
301655,2,1
712335,3,2
569370,2,1
954281,3,2
760600,2,1
618331,3,2
932074,2,1
86370,3,2
890803,2,1
996541,2,1
699254,3,2
294469,2,1
543292,2,1
852187,3,2
187122,2,1
913994,2,1
456795,3,2
838913,2,1
731999,3,2
377912,3,2
60500,2,1
325898,2,1
670184,2,1
638140,3,2
445215,3,2
212481,2,1
964939,2,1
304846,2,1
907103,3,2
757178,3,2
681221,3,2
443607,3,2
561297,2,1
475461,2,1
933242,1,0
206779,3,2
855142,2,1
745413,3,2
76950,1,0
358013,1,0
891578,2,1
492867,3,2
261907,3,2
213830,3,2
911759,3,2
798975,3,2
509749,1,0
959512,2,1
512910,1,0
117590,3,2
566185,1,0
441023,3,2
225834,2,1
